university,salary_grad5y,loc_per,male_per,ave_salary
武汉软件工程职业学院,3483,40,62,3825.0
北京电影学院现代创意媒体学院,-1,100,-1,-1
杭州电子科技大学信息工程学院,5833,64,60,-1
昆明理工大学,6072,36,66,7722.0
北京交通大学海滨学院,-1,41,54,-1
吉林建筑大学城建学院,-1,27,70,-1
铜陵学院,5480,22,63,6347.0
广西中医药大学赛恩斯新医药学院,-1,29,-1,-1
延安大学西安创新学院,3373,64,38,3215.0
长春工业大学人文信息学院,3587,35,44,3590.0
池州学院,-1,22,51,-1
郑州科技学院,5530,44,63,-1
陕西国际商贸学院,5805,42,46,-1
上海海关学院,-1,60,54,-1
山西医科大学晋祠学院,-1,45,39,-1
山东财经大学燕山学院,-1,40,36,-1
景德镇陶瓷学院科技艺术学院,5385,22,46,-1
安徽中澳科技职业学院,3483,43,32,3483.0
福建农业职业技术学院,3483,51,33,-1
烟台工程职业技术学院,3483,61,76,-1
青岛求实职业技术学院,3483,44,50,3743.0
昆山登云科技职业学院,3483,43,65,-1
云南农业职业技术学院,3483,62,47,-1
辽宁林业职业技术学院,3483,61,33,3508.0
四川商务职业学院,3483,71,25,3654.0
山东经贸职业学院,3483,34,33,3483.0
山东凯文科技职业学院,3483,38,62,-1
福州软件职业技术学院,3483,63,51,-1
天津交通职业学院,3483,69,52,3801.0
云南经济管理学院,3483,76,46,3589.0
广西电力职业技术学院,3483,28,68,-1
河北女子职业技术学院,3483,34,6,-1
海南外国语职业学院,3483,15,14,3483.0
石家庄信息工程职业学院,3483,47,40,3818.0
北京工商大学嘉华学院,7500,80,32,5400.0
西安理工大学高科学院,-1,68,49,-1
广东药学院,5406,56,51,5994.0
昆明医科大学海源学院,-1,78,-1,-1
山东科技大学泰山科技学院,5249,19,56,-1
哈尔滨远东理工学院,4125,37,39,3751.0
沈阳城市学院,5000,49,42,-1
河南科技学院新科学院,3231,30,50,-1
上海财经大学浙江学院,-1,31,39,-1
黑龙江工商学院,3749,45,36,-1
山西师范大学现代文理学院,4115,36,37,-1
黑龙江财经学院,-1,43,36,2083.0
陕西服装工程学院,-1,18,39,-1
岭南师范学院,5106,39,38,5348.0
新疆工程学院,-1,36,-1,-1
新疆农业大学科学技术学院,-1,66,50,-1
武汉大学珞珈学院,-1,47,53,-1
天津海运职业学院,3483,67,67,-1
浙江国际海运职业技术学院,3483,29,45,-1
湖北艺术职业学院,3483,59,23,3560.0
海南经贸职业技术学院,3483,17,42,3505.0
苏州经贸职业技术学院,3483,62,32,3863.0
惠州经济职业技术学院,3483,26,48,3536.0
黑龙江生物科技职业学院,3483,50,27,3483.0
三亚航空旅游职业学院,3483,13,63,-1
江海职业技术学院,3483,23,55,-1
吉林电子信息职业技术学院,3483,43,36,3899.0
青岛港湾职业技术学院,3483,51,64,3893.0
黑龙江农业经济职业学院,3483,31,36,3743.0
天津城市建设管理职业技术学院,3483,75,59,-1
山西国际商务职业学院,3483,47,24,-1
湖北经济学院法商学院,4583,48,37,3838.0
四川工业科技学院,3483,70,40,3581.0
山东外国语职业学院,3483,19,32,-1
武昌工学院,5000,45,53,4566.0
新疆财经大学商务学院,-1,40,40,-1
湖南理工学院南湖学院,-1,23,41,-1
内蒙古师范大学鸿德学院,-1,29,28,-1
河北医科大学临床学院,4374,33,35,-1
公安海警学院,-1,100,-1,-1
哈尔滨石油学院,3750,40,70,-1
齐鲁医药学院,-1,28,58,-1
内蒙古财经大学,5845,25,34,5870.0
齐齐哈尔工程学院,-1,76,-1,-1
新疆医科大学,5324,51,48,6408.0
江西科技师范大学,5901,20,47,7324.0
天津师范大学津沽学院,4791,61,27,3231.0
太原科技大学华科学院,3154,40,57,-1
吉林农业科技学院,4002,32,51,4197.0
湖南安全技术职业学院,3483,37,39,-1
福州黎明职业技术学院,3483,63,42,3483.0
天津城市职业学院,3483,92,29,3532.0
湖北财税职业学院,3483,47,22,3399.0
山东圣翰财贸职业学院,3483,42,50,3735.0
武汉民政职业学院,3483,52,23,3803.0
辽宁金融职业学院,3483,65,18,3614.0
山西信息职业技术学院,3483,31,65,4212.0
陕西青年职业学院,3483,72,34,3475.0
陕西经济管理职业技术学院,3483,75,26,3721.0
安徽新闻出版职业技术学院,3483,43,34,-1
天津工艺美术职业学院,3483,85,40,4170.0
四川邮电职业技术学院,3483,70,43,3740.0
福建卫生职业技术学院,3483,66,24,-1
四川文化产业职业学院,3536,75,33,3505.0
湖北工业大学工程技术学院,4583,51,58,3192.0
广西农业职业技术学院,3536,32,42,3597.0
辽宁商贸职业学院,3536,66,23,3462.0
宝鸡职业技术学院,3536,51,30,-1
广西师范学院师园学院,-1,43,41,-1
首都医科大学,6780,88,40,6516.0
电子科技大学,7638,45,71,9527.0
北京航空航天大学,9019,64,74,11463.0
暨南大学,8188,47,45,9681.0
北京理工大学,8736,63,64,10849.0
华南理工大学,8723,54,69,10809.0
哈尔滨工业大学,8209,23,69,11071.0
中央财经大学,9920,67,37,11949.0
中国政法大学,6993,61,40,8223.0
华东师范大学,8778,84,33,11059.0
中国传媒大学,8180,69,35,9629.0
东南大学,8235,35,66,10998.0
西安交通大学,8499,22,70,11597.0
浙江水利水电学院,5595,62,64,5257.0
上海应用技术学院,6927,95,50,8159.0
湖南城建职业技术学院,5665,35,68,5420.0
咸阳职业技术学院,3505,53,51,-1
长安大学兴华学院,-1,64,65,-1
西安财经学院行知学院,3750,71,26,3077.0
辽宁何氏医学院,-1,55,30,-1
河北金融学院,7563,34,33,-1
哈尔滨金融学院,6669,48,23,-1
华南农业大学珠江学院,-1,56,45,3749.0
西安工业大学北方信息工程学院,3177,59,62,-1
上海建桥学院,6461,90,44,5486.0
黑龙江外国语学院,-1,38,30,-1
首都体育学院,5724,85,57,5704.0
山东管理学院,3315,60,46,-1
天津医科大学临床医学院,-1,42,35,-1
宿州学院,6153,24,62,5193.0
广州商学院,4540,59,38,4437.0
湖南工业大学科技学院,4184,20,50,4038.0
内蒙古大学创业学院,-1,48,50,-1
吕梁学院,-1,25,43,-1
文华学院,5277,45,59,6444.0
郑州工业应用技术学院,-1,54,57,-1
湖南农业大学东方科技学院,3765,48,50,-1
安徽建筑大学城市建设学院,-1,23,-1,-1
辽宁师范大学海华学院,3231,41,23,-1
蚌埠学院,5833,25,67,-1
青岛滨海学院,4995,44,48,5000.0
黑河学院,3401,27,36,3420.0
成都文理学院,5000,71,31,3982.0
贵阳中医学院时珍学院,-1,19,-1,-1
安徽三联学院,5478,34,56,-1
河南警察学院,-1,28,-1,-1
重庆工商大学派斯学院,3750,50,37,4935.0
泰山医学院,5048,19,39,5678.0
河北工程大学科信学院,3750,24,57,-1
武汉音乐学院,4631,51,28,4707.0
武汉纺织大学,6062,33,50,7202.0
长沙理工大学城南学院,5500,54,55,-1
西北工业大学明德学院,4583,75,54,5000.0
中南林业科技大学,5674,25,55,6836.0
山东体育学院,3956,35,72,4088.0
江西服装学院,6741,14,33,7171.0
贵州工程应用技术学院,-1,12,62,-1
陕西科技大学镐京学院,3452,51,44,3904.0
遵义医学院,5008,13,39,5101.0
济南大学,4990,38,53,6542.0
辽宁对外经贸学院,4989,39,29,4357.0
温州医科大学仁济学院,-1,34,-1,-1
南京中医药大学翰林学院,-1,30,23,-1
江苏科技大学苏州理工学院,-1,17,52,-1
浙江中医药大学滨江学院,-1,61,25,-1
辽宁医学院医疗学院,-1,42,27,-1
北京师范大学-香港浸会大学联合国际学院,-1,26,29,-1
衡阳师范学院南岳学院,-1,22,35,-1
山西农业大学信息学院,3080,37,49,3199.0
安徽医科大学临床医学院,4174,30,38,-1
华北理工大学冀唐学院,5000,24,28,-1
遵义医学院医学与科技学院,-1,75,-1,-1
贵州医科大学神奇民族医药学院,-1,40,-1,-1
湖南科技大学潇湘学院,5284,22,52,-1
常州大学怀德学院,-1,27,52,-1
贵州大学明德学院,-1,54,65,-1
北京交通职业技术学院,3536,95,55,3589.0
福建对外经济贸易职业技术学院,3536,43,29,3441.0
长春职业技术学院,3589,65,43,3976.0
陕西学前师范学院,4291,68,52,-1
成都职业技术学院,3589,79,31,4000.0
济南职业学院,3589,62,42,3975.0
珠海艺术职业学院,3589,27,43,-1
山东劳动职业技术学院,3589,62,71,3676.0
哈尔滨电力职业技术学院,3589,41,68,3399.0
山东电子职业技术学院,3589,53,66,3764.0
廊坊职业技术学院,3589,39,40,3760.0
吉林工业职业技术学院,3589,37,46,3668.0
山东工业职业学院,3589,23,66,3592.0
黑龙江交通职业技术学院,3589,29,72,-1
成都农业科技职业学院,3589,73,53,4482.0
宁波城市职业技术学院,3589,58,36,3589.0
北海职业学院,3589,28,55,-1
山东信息职业技术学院,3589,21,54,3520.0
天津体育学院运动与文化艺术学院,-1,46,29,-1
新疆医科大学厚博学院,-1,33,-1,-1
河南牧业经济学院,-1,31,-1,-1
四川旅游学院,-1,26,-1,-1
南京医科大学康达学院,-1,42,36,-1
贵州师范大学求是学院,-1,49,37,-1
江苏师范大学科文学院,3750,21,34,-1
桂林理工大学博文管理学院,5000,17,63,-1
广东技术师范学院天河学院,-1,60,55,-1
大连工业大学艺术与信息工程学院,3490,59,27,-1
浙江海洋学院东海科学技术学院,-1,32,55,-1
云南师范大学文理学院,3750,58,35,-1
兰州城市学院,6416,42,47,-1
长江大学工程技术学院,5000,23,75,-1
长沙商贸旅游职业技术学院,3589,51,17,3952.0
陕西财经职业技术学院,3589,66,17,3433.0
黑龙江农垦职业学院,3589,47,21,3599.0
山东外贸职业学院,3589,71,24,3975.0
辽阳职业技术学院,3589,43,40,3399.0
陕西警官职业学院,3589,75,37,3505.0
乌兰察布职业学院,3589,21,49,-1
内蒙古化工职业学院,3589,28,51,-1
四川管理职业学院,3589,78,29,3438.0
永城职业学院,3589,35,60,-1
淄博职业学院,3589,27,44,3777.0
黑龙江信息技术职业学院,3589,52,65,3789.0
湖北商贸学院,5385,51,54,4029.0
黑龙江旅游职业技术学院,3589,45,32,3673.0
天津财经大学珠江学院,-1,62,33,3000.0
云南艺术学院文华学院,3529,42,48,-1
北京第二外国语学院中瑞酒店管理学院,-1,75,38,-1
沈阳化工大学科亚学院,-1,56,49,-1
中北大学信息商务学院,3315,48,59,3077.0
阜阳师范学院信息工程学院,3154,24,34,-1
石家庄经济学院华信学院,3483,39,39,4037.0
湖南文理学院芙蓉学院,5000,21,46,3077.0
广西民族大学相思湖学院,3374,45,37,3115.0
河北农业大学现代科技学院,4791,22,50,-1
商丘工学院,-1,37,-1,-1
成都工业学院,-1,46,80,-1
江西师范大学科学技术学院,3750,30,33,-1
南京工业大学浦江学院,3583,36,71,-1
湖南网络工程职业学院,3589,38,49,3869.0
山东科技职业学院,3589,24,52,3633.0
福建林业职业技术学院,3589,37,51,3749.0
南京旅游职业学院,3589,56,23,3505.0
无锡工艺职业技术学院,3589,25,43,3536.0
天津渤海职业技术学院,3589,66,40,3874.0
苏州托普信息职业技术学院,3589,44,50,3721.0
江苏财经职业技术学院,3589,23,28,3656.0
陕西邮电职业技术学院,3624,62,44,3607.0
吉林科技职业技术学院,3632,79,68,-1
鹤壁职业技术学院,3643,35,49,3984.0
辽宁经济职业技术学院,3643,64,27,3514.0
陕西职业技术学院,3643,70,37,3942.0
天津青年职业学院,3643,85,32,3850.0
吉林司法警官职业学院,3643,45,36,-1
山东畜牧兽医职业学院,3643,13,44,3696.0
潍坊职业学院,3696,30,46,4049.0
黑龙江生态工程职业学院,3655,51,40,-1
天津理工大学中环信息学院,3000,74,69,3231.0
厦门工学院,-1,71,80,-1
青海大学昆仑学院,5000,11,60,-1
湖州师范学院求真学院,4791,46,43,-1
广州航海学院,-1,61,-1,-1
浙江财经大学东方学院,-1,50,34,-1
兰州财经大学陇桥学院,3791,38,41,3154.0
桂林航天工业学院,-1,14,-1,-1
淮北师范大学信息学院,-1,17,47,-1
中南林业科技大学涉外学院,5000,47,39,-1
黑龙江工业学院,5949,34,59,-1
新疆大学科学技术学院,-1,36,49,-1
福建农林大学东方学院,3993,47,43,3338.0
湖南工程学院应用技术学院,6756,18,60,-1
安徽师范大学皖江学院,5000,20,36,4583.0
安徽外国语学院,-1,62,-1,-1
广西科技大学鹿山学院,-1,14,73,-1
吉林工程技术师范学院,4839,41,48,5149.0
山东英才学院,-1,49,46,-1
青岛酒店管理职业技术学院,3696,58,32,3828.0
安徽电气工程职业技术学院,3696,43,74,3589.0
滨州职业学院,3696,16,45,3759.0
山东农业工程学院,3696,47,40,3988.0
青岛恒星科技学院,3696,36,51,3669.0
安徽冶金科技职业学院,3696,21,63,-1
唐山职业技术学院,3696,35,29,3833.0
枣庄学院,3750,16,48,3669.0
金肯职业技术学院,3696,63,65,-1
河北化工医药职业技术学院,3696,54,44,3534.0
辽宁医学院,4444,34,34,4801.0
乌鲁木齐职业大学,3696,49,38,-1
郑州师范学院,3677,70,44,-1
建东职业技术学院,3696,31,52,-1
天津现代职业技术学院,3696,71,37,4172.0
南京铁道职业技术学院,3696,44,49,3670.0
四川艺术职业学院,3696,76,38,-1
南京邮电大学通达学院,3993,56,68,4527.0
南通大学杏林学院,3296,28,34,-1
苏州大学应用技术学院,4643,54,39,-1
安徽大学江淮学院,4199,54,45,3847.0
湖南师范大学树达学院,4971,52,32,-1
福建农林大学金山学院,-1,56,56,3063.0
南华大学船山学院,-1,21,60,-1
南京审计学院金审学院,3200,41,28,3327.0
南京财经大学红山学院,5000,41,32,-1
南京理工大学泰州科技学院,4791,23,55,3972.0
嘉兴学院南湖学院,3750,36,30,-1
云南大学旅游文化学院,3750,16,35,3353.0
天津大学仁爱学院,-1,52,62,3154.0
广东海洋大学寸金学院,-1,30,45,-1
河北科技大学理工学院,3231,32,56,-1
安徽农业大学经济技术学院,4791,53,56,-1
重庆机电职业技术学院,3696,75,78,4475.0
江苏海事职业技术学院,3696,46,58,4285.0
重庆工程学院,3696,63,58,4001.0
贵州警官职业学院,3696,33,65,-1
西安铁路职业技术学院,3696,73,52,3451.0
山西财贸职业技术学院,3696,64,28,3666.0
唐山科技职业技术学院,3696,32,60,-1
天津中德职业技术学院,3696,79,49,3958.0
天津电子信息职业技术学院,3696,77,52,3940.0
石家庄学院,5268,38,48,4547.0
昆明艺术职业学院,3696,38,41,-1
吉林医药学院,4468,17,36,4077.0
无锡科技职业学院,3696,51,57,3884.0
河北政法职业学院,3696,33,30,4296.0
湖南外贸职业学院,3696,36,21,3685.0
兰州工业学院,-1,27,-1,-1
闽南理工学院,-1,31,70,-1
安徽工程大学机电学院,-1,21,68,-1
河北师范大学汇华学院,4583,42,21,3192.0
江西理工大学应用科学学院,4957,17,69,-1
兰州财经大学长青学院,3231,46,43,3217.0
湖南中医药大学湘杏学院,-1,41,-1,-1
沧州师范学院,-1,33,-1,-1
上海师范大学天华学院,5833,94,43,4583.0
扬州大学广陵学院,3612,21,44,-1
宁德师范学院,-1,33,-1,-1
河海大学文天学院,-1,16,68,-1
兰州理工大学技术工程学院,5000,33,79,-1
武汉设计工程学院,-1,54,44,4374.0
江西财经大学现代经济管理学院,5000,22,44,-1
宁波大红鹰学院,-1,43,47,-1
山东青年政治学院,4723,37,58,-1
湄洲湾职业技术学院,3696,21,71,-1
武汉商贸职业学院,3696,39,38,4058.0
广州工商学院,3696,61,52,3854.0
天津天狮学院,-1,78,47,-1
山东女子学院,5805,36,29,-1
辽宁石化职业技术学院,3696,29,51,3505.0
广州华立科技职业学院,3721,55,61,-1
广西民族师范学院,-1,24,39,-1
湖南女子学院,-1,43,2,-1
广西生态工程职业技术学院,3749,19,46,-1
呼和浩特职业学院,3749,39,36,-1
辽宁机电职业技术学院,3762,39,66,3974.0
广西国际商务职业技术学院,3762,34,26,3632.0
山东旅游职业学院,3762,48,33,3518.0
盐城卫生职业技术学院,3762,24,10,3473.0
长沙师范学院,3762,39,22,-1
信阳农林学院,-1,37,-1,-1
中国计量学院现代科技学院,-1,64,63,-1
江西农业大学南昌商学院,5234,20,45,3771.0
苏州科技学院天平学院,5124,63,54,-1
天津外国语大学滨海外事学院,-1,53,21,3115.0
辽宁财贸学院,-1,29,29,-1
长春建筑学院,4599,35,57,-1
河南大学民生学院,3749,35,48,-1
江苏大学京江学院,3749,18,58,-1
宁夏大学新华学院,5124,64,49,-1
东华理工大学长江学院,4583,17,63,-1
山西财经大学华商学院,3785,64,39,-1
山西传媒学院,-1,50,-1,-1
西安航空学院,-1,60,67,-1
南昌大学共青学院,6416,20,56,3425.0
福建师范大学闽南科技学院,4499,38,50,3264.0
郑州财经学院,3793,60,47,3671.0
太原学院,3803,59,38,3626.0
威海职业学院,3803,18,51,3927.0
常州轻工职业技术学院,3803,25,52,4548.0
许昌职业技术学院,3803,35,50,3928.0
辽宁广告职业学院,3803,65,34,3780.0
长沙环境保护职业技术学院,3803,35,37,4135.0
陕西交通职业技术学院,3803,72,62,3978.0
无锡商业职业技术学院,3803,40,33,4594.0
泰州学院,3803,19,26,3574.0
陕西能源职业技术学院,3803,59,57,4792.0
东营职业学院,3803,27,44,4020.0
广东女子职业技术学院,3803,64,0,4208.0
四川托普信息技术职业学院,3803,74,47,3815.0
长春中医药大学,4195,49,27,4498.0
长春师范大学,4280,43,27,5111.0
吉首大学张家界学院,6192,23,33,3238.0
河北经贸大学经济管理学院,3752,42,31,3460.0
黑龙江东方学院,4861,46,44,5560.0
天津商业大学宝德学院,3374,56,30,3598.0
浙江理工大学科技与艺术学院,4117,70,43,-1
石家庄铁道大学四方学院,4676,29,50,-1
潍坊科技学院,-1,18,63,-1
湖南商学院北津学院,6999,48,38,3346.0
广东外语外贸大学南国商学院,-1,62,27,4434.0
阳光学院,4348,51,41,3753.0
南昌工学院,-1,30,-1,-1
江西旅游商贸职业学院,3803,19,41,3914.0
商丘职业技术学院,3803,38,49,3913.0
白城师范学院,4117,37,43,3519.0
常州机电职业技术学院,3803,25,74,4265.0
广州城市职业学院,3803,82,42,4417.0
黑龙江农业工程职业学院,3803,51,59,4067.0
陕西国防工业职业技术学院,3803,61,66,4453.0
黑龙江司法警官职业学院,3803,51,28,3847.0
陕西航空职业技术学院,3803,53,64,4050.0
山东水利职业学院,3803,20,62,4491.0
滨州学院,5833,16,52,5430.0
河南职业技术学院,3803,54,56,4685.0
哈尔滨职业技术学院,3803,56,54,5212.0
武汉铁路职业技术学院,3803,52,55,3598.0
兰州职业技术学院,3803,41,60,4329.0
南京特殊教育师范学院,3803,35,11,-1
大连职业技术学院,3803,72,42,4077.0
长江师范学院,4540,64,41,4488.0
江西中医药大学科技学院,-1,21,44,-1
东北师范大学人文学院,4352,34,26,3661.0
贵州大学科技学院,5000,55,46,-1
山东协和学院,-1,30,-1,-1
同济大学浙江学院,-1,38,62,-1
东南大学成贤学院,6111,43,63,5181.0
成都理工大学工程技术学院,5000,50,67,4122.0
北京邮电大学世纪学院,5317,79,58,5211.0
重庆工商大学融智学院,3750,70,40,3000.0
安顺学院,-1,20,59,-1
衢州学院,-1,27,-1,-1
北京科技大学天津学院,4585,31,52,4069.0
日照职业技术学院,3803,16,49,3710.0
天津农学院,4028,70,36,4656.0
江西电力职业技术学院,3803,15,80,3883.0
湖南司法警官职业学院,3803,37,46,-1
武汉交通职业学院,3803,37,61,4959.0
江苏经贸职业技术学院,3803,48,25,4235.0
武汉警官职业学院,3803,31,51,4231.0
黄河交通学院,3803,61,76,3946.0
天津轻工职业技术学院,3803,63,54,4113.0
江苏信息职业技术学院,3803,39,56,3813.0
天津机电职业技术学院,3803,69,62,4094.0
莱芜职业技术学院,3803,18,57,4012.0
无锡城市职业技术学院,3803,42,47,3628.0
新疆交通职业技术学院,3803,31,76,-1
西安培华学院,4852,45,39,5164.0
烟台职业学院,3803,41,44,4456.0
河北民族师范学院,-1,60,50,-1
青岛黄海学院,3751,32,56,-1
南京信息工程大学滨江学院,5000,44,45,3697.0
广西师范大学漓江学院,4541,14,38,3192.0
昆明理工大学津桥学院,3154,60,51,3268.0
福州大学至诚学院,3974,60,60,3231.0
安徽工业大学工商学院,4583,18,58,3263.0
太原理工大学现代科技学院,5000,53,56,-1
安徽财经大学商学院,5385,20,43,-1
南昌大学科学技术学院,6066,26,56,3749.0
广西大学行健文理学院,6374,51,42,-1
兰州交通大学博文学院,4583,26,63,-1
中国矿业大学徐海学院,3572,24,58,3443.0
湖北轻工职业技术学院,3803,47,59,4063.0
武汉电力职业技术学院,3803,56,68,4475.0
辽宁科技学院,4166,33,61,3763.0
安徽财贸职业学院,3803,42,38,3625.0
河北交通职业技术学院,3803,36,51,3758.0
湖北交通职业技术学院,3803,49,66,4895.0
安徽城市管理职业学院,3803,48,30,3517.0
西安航空职业技术学院,3803,58,71,4234.0
天津滨海职业学院,3803,73,35,4103.0
黑龙江商业职业学院,3815,27,34,4026.0
扬州工业职业技术学院,3828,18,55,4206.0
西安职业技术学院,3828,73,51,5385.0
沈阳大学,4195,68,39,7220.0
川北医学院,5128,40,26,4213.0
吉林工商学院,4693,58,33,3023.0
黑龙江农垦科技职业学院,3828,46,55,-1
濮阳职业技术学院,3828,36,50,3871.0
南昌航空大学科技学院,5500,22,79,-1
贺州学院,-1,25,50,-1
大连理工大学城市学院,4733,48,50,4590.0
长治学院,3421,23,51,-1
上海外国语大学贤达经济人文学院,6999,92,24,5805.0
上海视觉艺术学院,6666,79,31,5833.0
东莞理工学院城市学院,4583,68,51,3489.0
中国地质大学长城学院,5000,29,47,3116.0
绥化学院,4263,29,38,3810.0
广州大学松田学院,4499,53,51,3873.0
楚雄师范学院,4980,34,56,-1
江西外语外贸职业学院,3828,23,25,4185.0
长治职业技术学院,3828,22,71,-1
山西机电职业技术学院,3828,25,83,3902.0
酒泉职业技术学院,3828,17,54,-1
福建电力职业技术学院,3828,26,76,-1
平顶山工业职业技术学院,3828,35,54,4144.0
青海交通职业技术学院,3828,40,38,-1
四川航天职业技术学院,3828,65,69,4160.0
济宁学院,-1,21,52,-1
辽宁农业职业技术学院,3828,47,30,4017.0
江苏商贸职业学院,3828,60,16,-1
河南经贸职业学院,3828,63,33,3573.0
天津石油职业技术学院,3850,58,74,3542.0
鞍山师范学院,4525,25,28,4879.0
吉林交通职业技术学院,3869,66,50,3994.0
中山大学新华学院,4075,72,41,4266.0
燕山大学里仁学院,4861,28,57,4736.0
中山大学南方学院,-1,59,42,4583.0
武夷学院,-1,31,49,-1
福建江夏学院,-1,65,44,-1
大庆师范学院,3827,21,36,3492.0
西北大学现代学院,5000,76,39,3490.0
南京大学金陵学院,5003,47,43,5000.0
广东培正学院,4167,55,42,4077.0
南京理工大学紫金学院,5000,35,60,4452.0
湖北科技学院,5234,23,49,5978.0
福州外语外贸学院,-1,50,-1,-1
三江学院,4861,44,47,5255.0
西北师范大学知行学院,5000,46,40,-1
新疆轻工职业技术学院,3869,34,42,-1
浙江长征职业技术学院,3869,64,45,3651.0
黑龙江农业职业技术学院,3869,31,43,3643.0
云南民族大学,4385,60,43,4018.0
郑州电子信息职业技术学院,3892,42,74,3760.0
汕尾职业技术学院,3892,35,42,3775.0
信阳职业技术学院,3894,33,28,-1
山东交通职业学院,3935,21,76,3880.0
长沙医学院,6401,42,43,-1
广西水利电力职业技术学院,3935,30,66,3841.0
苏州农业职业技术学院,3935,58,33,3952.0
合肥通用职业技术学院,3935,50,77,4061.0
重庆信息技术职业学院,3935,37,55,4169.0
大连东软信息学院,4902,46,57,5260.0
广东第二师范学院,5263,63,29,5229.0
昌吉学院,4960,27,36,-1
北华航天工业学院,6306,43,60,7000.0
呼伦贝尔学院,5083,24,49,4367.0
西交利物浦大学,-1,42,39,-1
福建师范大学协和学院,4375,55,39,3471.0
云南大学滇池学院,5000,50,42,3489.0
无锡太湖学院,4027,45,38,4044.0
云南师范大学商学院,4647,51,40,3533.0
三明学院,5000,30,60,-1
集美大学诚毅学院,5811,53,49,3273.0
唐山学院,5256,41,51,6193.0
河北大学工商学院,4449,32,39,5504.0
武汉理工大学华夏学院,5000,49,58,4792.0
南开大学滨海学院,5000,47,42,4757.0
湖南艺术职业学院,3935,43,42,4470.0
武汉生物工程学院,5561,37,59,4353.0
河北工程技术学院,3935,34,40,3894.0
杨凌职业技术学院,3935,65,49,4981.0
罗定职业技术学院,3935,38,48,3715.0
通化师范学院,4334,32,32,4735.0
陕西工业职业技术学院,3935,58,54,4494.0
江汉大学,4990,62,48,6510.0
山东政法学院,4063,51,43,3828.0
四川工商职业技术学院,3935,67,38,3986.0
钟山职业技术学院,3935,69,52,-1
重庆航天职业技术学院,3935,71,53,3853.0
山东铝业职业学院,3935,16,58,3948.0
泰山学院,4645,16,52,5732.0
绵阳师范学院,4453,45,41,4756.0
德州科技职业学院,3935,27,49,4216.0
南宁职业技术学院,3935,29,52,4121.0
吉林华桥外国语学院,5000,21,21,5011.0
齐鲁工业大学,4719,33,55,5442.0
南京森林警察学院,-1,33,-1,-1
曲靖师范学院,4961,31,54,-1
杭州师范大学钱江学院,5000,74,42,-1
绍兴文理学院元培学院,7250,34,40,-1
太原工业学院,4936,15,67,5218.0
首都师范大学科德学院,5000,79,38,4891.0
桂林电子科技大学信息科技学院,7000,18,71,3899.0
新余学院,-1,14,76,-1
长春理工大学光电信息学院,5000,39,66,4327.0
安康学院,5120,55,47,-1
广东石油化工学院,5652,35,66,6251.0
辽东学院,4772,34,31,4679.0
广东工业大学华立学院,6416,53,56,4916.0
广州大学华软软件学院,-1,63,68,6125.0
河北建材职业技术学院,3935,34,39,4131.0
福建信息职业技术学院,3935,54,65,4250.0
山东商业职业技术学院,3935,44,48,4904.0
北京政法职业学院,3935,97,34,3940.0
河套学院,3935,17,44,-1
湖南信息学院,3935,33,46,4278.0
四川电力职业技术学院,3935,72,61,4828.0
湖南石油化工职业技术学院,3935,17,71,-1
聊城职业技术学院,3935,20,48,-1
南京机电职业技术学院,3935,54,72,3901.0
唐山师范学院,4517,41,36,5167.0
中国民用航空飞行学院,5948,21,64,5851.0
武汉航海职业技术学院,3935,44,72,4642.0
衡水职业技术学院,3935,43,39,3483.0
常德职业技术学院,3935,18,45,-1
清远职业技术学院,3935,44,47,4822.0
武昌首义学院,4679,47,57,5848.0
仲恺农业工程学院,5564,71,55,6884.0
华东交通大学理工学院,5341,18,64,3669.0
江苏第二师范学院,4679,41,19,4193.0
榆林学院,5000,48,60,-1
湖北文理学院,5672,21,59,7118.0
安徽新华学院,5205,43,58,4375.0
保定学院,-1,43,35,-1
烟台南山学院,5195,13,54,3821.0
浙江工业大学之江学院,5249,69,49,4666.0
北京工业大学耿丹学院,8999,82,48,-1
梧州学院,5249,31,55,5653.0
江苏理工学院,5130,26,37,5895.0
私立华联学院,3935,67,49,4622.0
重庆三峡学院,5110,48,48,6385.0
青岛职业技术学院,3935,79,51,4666.0
湖南医药学院,3935,24,27,3721.0
周口职业技术学院,3957,35,57,3861.0
乐山职业技术学院,3957,46,24,-1
郑州职业技术学院,3957,51,62,3915.0
武汉信息传播职业技术学院,3960,37,27,3699.0
沈阳工业大学,5267,42,61,7100.0
湖北开放职业学院,3960,49,46,-1
河北旅游职业学院,3960,51,19,3688.0
内蒙古交通职业技术学院,3960,16,68,-1
苏州工业职业技术学院,3972,69,55,3626.0
江苏农林职业技术学院,3966,32,42,3632.0
大庆职业学院,3999,24,57,4468.0
山东力明科技职业学院,3999,29,37,4060.0
琼州学院,5461,13,59,-1
浙江大学宁波理工学院,6239,38,57,6819.0
天津城建大学,5607,64,60,7836.0
攀枝花学院,5211,48,64,6086.0
河南城建学院,5923,23,68,6119.0
西安思源学院,4701,34,66,5298.0
淮阴工学院,5213,19,61,5925.0
防灾科技学院,7083,53,50,-1
河北工业大学城市学院,5249,41,57,-1
玉林师范学院,4332,20,42,4353.0
天津职业技术师范大学,4977,47,50,5862.0
徐州工程学院,5406,18,53,5674.0
湖南人文科技学院,5683,26,53,4177.0
浙江外国语学院,6098,67,28,-1
湖南警察学院,4792,32,54,-1
